name,calories,total_fat,sodium,protein,carbohydrate,sugars,food_group
"Cherries, unsweetene",46,0.4g,1.00 mg,0.92 g,11.02 g,9.02 g,grains
"Nuts, unblanched, ho",594,50g,130.00 mg,18.17 g,27.90 g,0,grains
"Lamb, raw, brains, i",118,8g,117.00 mg,11.33 g,0.00 g,0.00 g,grains
"Beverages, No pulp, ",21,0g,4.00 mg,0.21 g,5.42 g,4.17 g,grains
"Yachtwurst, cooked, ",268,23g,936.00 mg,14.80 g,1.40 g,0.00 g,grains
"Sausage, hot, beef w",259,19g,1540.00 mg,17.60 g,3.60 g,0.00 g,grains
"Soup, dry, chicken f",439,18g,1923.00 mg,10.22 g,60.23 g,1.96 g,grains
"Strawberries, sliced",96,0.1g,3.00 mg,0.53 g,25.92 g,24.01 g,grains
"WORTHINGTON Leanies,",251,17g,1078.00 mg,19.50 g,6.10 g,1.20 g,grains
"Turkey sticks, fried",279,17g,838.00 mg,14.20 g,17.00 g,0,grains
"SUNSHINE, Baby Swiss",503,25g,629.00 mg,8.60 g,63.10 g,1.40 g,grains
"Soup, lower sodium, ",6,0.1g,180.00 mg,1.20 g,0.21 g,0.20 g,grains
"Pickles, reduced sod",12,0.3g,18.00 mg,0.50 g,2.41 g,1.07 g,grains
"Potato chips, reduce",487,21g,8.00 mg,7.10 g,67.80 g,0.22 g,grains
"SUNSHINE, Mozzarella",500,24g,593.00 mg,8.60 g,64.10 g,1.40 g,grains
"KASHI, Oatmeal Raisi",414,15g,236.00 mg,7.70 g,67.00 g,24.80 g,grains
"Cookies, with frosti",509,24g,257.00 mg,3.00 g,70.09 g,41.10 g,grains
"KASHI, unprepared, 7",375,5.4g,0,13.81 g,71.00 g,0.80 g,grains
"Lamb, raw, liver, im",136,4.9g,59.00 mg,20.70 g,2.22 g,0.00 g,grains
"Pie crust, baked, re",506,29g,472.00 mg,3.41 g,58.52 g,0,grains
"Lima beans, canned, ",79,0.2g,336.00 mg,4.93 g,14.91 g,0,grains
"Fish, New York State",110,2.7g,45.00 mg,21.23 g,0.00 g,0,grains
"Sea lion, meat (Alas",120,1.9g,62.00 mg,25.85 g,0.00 g,0,grains
"Beverages, strawberr",113,2.8g,83.00 mg,3.40 g,18.90 g,0,grains
"Avocados, all commer",160,15g,7.00 mg,2.00 g,8.53 g,0.66 g,grains
"LOMA LINDA Linketts,",209,12g,401.00 mg,21.30 g,4.40 g,0.30 g,grains
"WORTHINGTON FriPats,",209,9.1g,517.00 mg,23.70 g,8.00 g,1.40 g,grains
"Owl, raw (Alaska Nat",136,5g,0,22.70 g,0.00 g,0,grains
"Mung beans, raw, spr",30,0.2g,6.00 mg,3.04 g,5.94 g,4.13 g,grains
"Cheesefurter, beef, ",328,29g,1082.00 mg,14.10 g,1.51 g,1.51 g,grains
"Beverages, chamomile",1,0g,1.00 mg,0.00 g,0.20 g,0.00 g,grains
"Goose, raw, meat and",371,34g,73.00 mg,15.86 g,0.00 g,0,grains
"Soybeans, salted, ro",469,25g,163.00 mg,38.55 g,30.22 g,4.20 g,grains
"Soup, canned, low so",16,0.6g,30.00 mg,2.00 g,1.20 g,0.13 g,grains
"Squash, boiled (Nava",16,0.2g,0,0.31 g,3.22 g,2.02 g,grains
"Butter replacement, ",373,1g,1200.00 mg,2.00 g,89.00 g,5.30 g,grains
"Oil, (approx. 65%), ",884,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Restaurant, sirloin ",195,8.5g,339.00 mg,29.80 g,0.00 g,0.55 g,grains
"Pie, Commercially Pr",290,12g,200.00 mg,2.17 g,44.54 g,22.02 g,grains
"Chicken, skin, BBQ, ",378,35g,335.00 mg,15.19 g,0.70 g,0.70 g,grains
"MOTHER'S, Holiday Ci",515,25g,192.00 mg,3.80 g,68.30 g,44.30 g,grains
"MOTHER'S, Peanut But",482,22g,434.00 mg,7.40 g,65.70 g,32.30 g,grains
"Babyfood, canned, no",62,0g,10.00 mg,0.00 g,15.38 g,15.30 g,grains
"Cake, sponge, creme-",374,12g,470.00 mg,3.47 g,64.03 g,37.30 g,grains
"Mayonnaise, with oli",361,40g,800.00 mg,0.37 g,0.00 g,0.00 g,grains
"Candies, yogurt, con",522,27g,88.00 mg,5.87 g,63.94 g,62.36 g,grains
"Blackberries, raw (A",52,1.1g,6.00 mg,0.84 g,9.84 g,3.65 g,grains
"Rolls, mixed-grain, ",263,6g,458.00 mg,9.60 g,44.60 g,6.25 g,grains
"Lamb, raw, heart, im",105,3.7g,94.00 mg,18.09 g,0.00 g,0.00 g,grains
"Cheese food, swiss, ",323,24g,1552.00 mg,21.92 g,4.50 g,0,grains
"Cabbage, pickled, fr",30,0.1g,277.00 mg,1.60 g,5.67 g,1.30 g,grains
"Yogurt, CHOBANI, van",71,0.2g,36.00 mg,9.07 g,8.09 g,7.61 g,grains
"Beverages, Tropical,",49,0g,33.00 mg,0.41 g,11.38 g,10.16 g,grains
"Formulated Bar, SOUT",412,15g,436.00 mg,30.34 g,38.40 g,15.17 g,grains
"MOTHER'S, English Te",469,19g,267.00 mg,4.50 g,71.00 g,32.00 g,grains
"Fast foods, biscuit ",277,19g,600.00 mg,12.12 g,14.37 g,0,grains
"Mollusks, raw, farme",59,1.6g,178.00 mg,5.22 g,5.53 g,0,grains
"KEEBLER, Rainbow, Va",466,18g,400.00 mg,4.00 g,72.30 g,31.10 g,grains
"Crackers, regular, s",510,26g,726.00 mg,6.64 g,61.30 g,8.18 g,grains
"Pork, microwaved, co",476,34g,1783.00 mg,39.01 g,0.48 g,0.00 g,grains
"Sausage, smoked, por",301,27g,848.00 mg,12.07 g,1.98 g,0.00 g,grains
"Sausage, mild, break",235,18g,639.00 mg,15.42 g,1.56 g,0.00 g,grains
"PIZZA HUT, parmesan ",343,13g,539.00 mg,12.20 g,44.48 g,1.11 g,grains
"MORI-NU, lite extra ",38,0.7g,98.00 mg,7.00 g,1.00 g,0.42 g,grains
"Beverages, Whey prot",359,1.2g,372.00 mg,58.14 g,29.07 g,1.16 g,grains
"Candies, starch jell",396,0g,44.00 mg,0.00 g,98.90 g,58.97 g,grains
"WENDY'S, without che",243,8.8g,539.00 mg,12.62 g,28.45 g,0,grains
"Nuts, sweetened, can",357,16g,36.00 mg,1.17 g,53.21 g,51.50 g,grains
"Babyfood, junior, du",79,0.2g,3.00 mg,0.20 g,19.18 g,17.89 g,grains
"Fast foods, plain, r",244,10g,653.00 mg,15.17 g,22.21 g,3.84 g,grains
"Grapes, raw, america",67,0.4g,2.00 mg,0.63 g,17.15 g,16.25 g,grains
"CRACKER BARREL, thic",327,16g,463.00 mg,4.78 g,40.95 g,4.82 g,grains
"Frostings, prepared-",341,0.5g,6.00 mg,0.44 g,83.65 g,80.44 g,grains
"Snacks, salted, fat ",379,0.6g,643.00 mg,9.64 g,83.76 g,3.69 g,grains
"Popcorn, fat-free, s",381,1.4g,286.00 mg,2.00 g,90.06 g,64.68 g,grains
"KELLOGG'S, Caramel, ",255,7.1g,456.00 mg,5.00 g,43.40 g,15.60 g,grains
"McDONALD'S, Bacon Eg",304,19g,863.00 mg,13.45 g,22.26 g,2.18 g,grains
"Dip, medium, salsa c",133,8.3g,773.00 mg,2.92 g,11.72 g,1.40 g,grains
"Fish oil, fully hydr",902,100g,0.00 mg,0.00 g,0.00 g,0,grains
"Snacks, chopped and ",410,26g,2081.00 mg,33.20 g,11.00 g,9.00 g,grains
Tomato and vegetable,22,0.1g,58.00 mg,0.60 g,4.59 g,3.28 g,grains
"KEEBLER, Minis Origi",479,21g,972.00 mg,6.00 g,66.40 g,8.00 g,grains
"Desserts, unsweetene",84,0.1g,26050.00 mg,1.00 g,19.80 g,0,grains
"Tortillas, corn, rea",218,2.9g,45.00 mg,5.70 g,44.64 g,0.88 g,grains
"Toaster pastries, br",370,8g,361.00 mg,4.06 g,72.64 g,27.24 g,grains
"Tomatoes, with salt,",18,0.1g,247.00 mg,0.95 g,4.01 g,2.49 g,grains
"Biscuits, dry mix, p",428,15g,1276.00 mg,8.00 g,63.40 g,11.65 g,grains
"Blueberries, raw (Al",61,0.8g,6.00 mg,1.22 g,12.31 g,6.46 g,grains
"Babyfood, beef with ",96,6.9g,38.00 mg,2.03 g,6.36 g,2.16 g,grains
"Pineapple, drained, ",60,0.1g,1.00 mg,0.51 g,15.56 g,14.26 g,grains
"Apricots, drained, h",83,0.1g,4.00 mg,0.64 g,21.31 g,18.65 g,grains
"Chicken, with broth,",165,8g,503.00 mg,21.77 g,0.00 g,0.00 g,grains
"Cream puff shell, pr",360,26g,483.00 mg,9.00 g,22.80 g,0.25 g,grains
"Popcorn, low fat and",429,9.5g,490.00 mg,12.60 g,73.39 g,0.54 g,grains
Braunschweiger (a li,327,29g,977.00 mg,14.50 g,3.10 g,0.00 g,grains
"Vanilla extract, no ",56,0g,3.00 mg,0.03 g,14.40 g,14.40 g,grains
"Pickles, dill or kos",12,0.3g,809.00 mg,0.50 g,2.41 g,1.07 g,grains
"Strawberries, whole,",78,0.1g,1.00 mg,0.52 g,21.00 g,18.61 g,grains
"Restaurant, lasagna ",185,11g,466.00 mg,10.83 g,11.36 g,3.15 g,grains
"Jellies, home preser",179,0g,2.00 mg,0.30 g,46.10 g,45.30 g,grains
"Snacks, air-popped (",382,4.2g,4.00 mg,12.00 g,77.90 g,0,grains
Chilchen (Red Berry ,44,0.6g,15.00 mg,0.81 g,8.68 g,2.60 g,grains
"BURGER KING, Origina",286,15g,638.00 mg,12.14 g,26.22 g,3.02 g,grains
"MURRAY, Shortbread C",431,18g,476.00 mg,7.00 g,71.60 g,1.30 g,grains
"Milk, reduced sugar,",54,1g,66.00 mg,3.43 g,7.68 g,7.29 g,grains
"Taco shells, without",468,23g,15.00 mg,7.20 g,62.40 g,0,grains
"Restaurant, french f",289,14g,357.00 mg,3.49 g,37.20 g,0.28 g,grains
"KELLOGG'S, French To",305,12g,537.00 mg,5.80 g,43.40 g,11.50 g,grains
"Cornmeal, yellow, un",370,1.8g,7.00 mg,7.11 g,79.45 g,1.61 g,grains
"Restaurant, cheese q",368,23g,701.00 mg,15.93 g,24.11 g,2.21 g,grains
"Snacks, plain, rice ",387,2.8g,326.00 mg,8.20 g,81.50 g,0.89 g,grains
"ANDREA'S, Gluten Fre",257,8.2g,544.00 mg,5.65 g,40.24 g,2.98 g,grains
"Nuts, peeled, raw, e",196,1.3g,2.00 mg,1.63 g,44.17 g,0,grains
"Beef, raw, brisket, ",198,15g,1217.00 mg,14.68 g,0.14 g,0,grains
"Sauerkraut, solids a",19,0.1g,661.00 mg,0.91 g,4.28 g,1.78 g,grains
"Beverages, Mixed Ber",0,0g,42.00 mg,0.00 g,0.14 g,0.00 g,grains
"Egg rolls, prepared,",214,7g,490.00 mg,5.95 g,31.77 g,5.96 g,grains
"KEEBLER, Coconut Coo",530,29g,293.00 mg,5.70 g,61.50 g,28.40 g,grains
"Beans, liquid from s",47,3.2g,2.00 mg,1.80 g,2.80 g,0.00 g,grains
"Fish, whole (Alaska ",82,1.8g,0,15.50 g,0.00 g,0,grains
Strawberry-flavor be,389,0.2g,38.00 mg,0.10 g,99.10 g,95.45 g,grains
"Sweeteners, liquid, ",279,0g,2.00 mg,0.00 g,76.10 g,76.00 g,grains
"Sauce, TABASCO, pepp",12,0.8g,633.00 mg,1.29 g,0.80 g,0.13 g,grains
"Frozen novelties, fr",87,0.1g,4.00 mg,1.20 g,20.20 g,17.48 g,grains
"Sourdock, young leav",42,0.7g,0,2.30 g,6.50 g,0,grains
"Sweet Potato puffs, ",161,3.6g,250.00 mg,1.36 g,30.72 g,7.65 g,grains
"Oranges, all commerc",47,0.1g,0.00 mg,0.94 g,11.75 g,9.35 g,grains
"Keikitos (muffins), ",467,25g,0,6.81 g,53.16 g,25.81 g,grains
"Cake, dry mix, choco",391,8.1g,767.00 mg,4.60 g,80.16 g,39.53 g,grains
"Beverages, Kiwi Stra",47,0g,11.00 mg,0.00 g,12.26 g,11.63 g,grains
"Beverages, FULL THRO",46,0.1g,35.00 mg,0.25 g,12.08 g,12.08 g,grains
"Snacks, wasabi-flavo",432,14g,300.00 mg,14.11 g,62.20 g,14.11 g,grains
"Sea lion, fat (Alask",850,94g,0,0.90 g,0.00 g,0,grains
"PEPPERIDGE FARM, Cin",300,5g,386.00 mg,0.01 g,52.90 g,14.60 g,grains
"Willow, leaves in oi",592,61g,0,2.60 g,8.10 g,0,grains
"WORTHINGTON Chili, u",126,4.5g,453.00 mg,10.40 g,10.90 g,1.30 g,grains
"Tortilla chips, salt",497,22g,310.00 mg,6.62 g,67.38 g,1.21 g,grains
"Pineapple, tradition",45,0.1g,1.00 mg,0.55 g,11.82 g,8.29 g,grains
"Peas, raw, mature se",352,1.2g,15.00 mg,23.82 g,63.74 g,8.00 g,grains
"Rhubarb, leaves (Ala",61,0.5g,0,4.20 g,9.90 g,0,grains
"Beverages, caffeine ",0,0g,6.00 mg,0.00 g,1.13 g,0.00 g,grains
"USDA Commodity, smoo",588,50g,476.00 mg,21.93 g,23.98 g,6.50 g,grains
"Fish, dried and salt",290,2.4g,7027.00 mg,62.82 g,0.00 g,0.00 g,grains
"Fish, granular, blac",264,18g,1500.00 mg,24.60 g,4.00 g,0.00 g,grains
"Beverages, Cran Lemo",45,0g,52.00 mg,0.07 g,11.12 g,10.40 g,grains
"KEEBLER, Export Soda",414,12g,597.00 mg,5.60 g,74.00 g,2.30 g,grains
"Restaurant, kung pao",129,7g,402.00 mg,9.76 g,6.87 g,3.03 g,grains
"Waterchestnuts, raw,",97,0.1g,14.00 mg,1.40 g,23.94 g,4.80 g,grains
"Vegetables, unprepar",72,0.5g,47.00 mg,3.33 g,13.47 g,0,grains
Ascidians (tunughnak,20,0.5g,656.00 mg,3.80 g,0.00 g,0,grains
"Seeds, dried, waterm",557,47g,99.00 mg,28.33 g,15.31 g,0,grains
"Candies, REESE'S NUT",517,32g,141.00 mg,11.28 g,52.80 g,40.22 g,grains
"Gourd, raw, white-fl",14,0g,2.00 mg,0.62 g,3.39 g,0,grains
"Cereals, dry, instan",366,1.4g,571.00 mg,10.60 g,75.50 g,0.40 g,grains
"Babyfood, junior, ca",32,0.2g,49.00 mg,0.80 g,7.20 g,3.16 g,grains
"Sauce, original, BUL",170,0.7g,1012.00 mg,0.91 g,39.95 g,35.29 g,grains
"Pork, raw, 84% lean ",218,16g,68.00 mg,17.99 g,0.44 g,0.00 g,grains
"MURRAY, Duplex Creme",475,19g,412.00 mg,4.90 g,72.60 g,37.60 g,grains
"Candies, KIT KAT BIG",520,28g,64.00 mg,6.24 g,63.64 g,53.96 g,grains
"Spanish rice mix, un",363,1.6g,1085.00 mg,10.62 g,76.45 g,3.83 g,grains
"Snacks, salted, yucc",515,26g,296.00 mg,1.34 g,69.23 g,3.36 g,grains
"Collards, unprepared",33,0.4g,48.00 mg,2.69 g,6.46 g,0,grains
"Cornmeal, white, une",370,1.8g,7.00 mg,7.11 g,79.45 g,1.61 g,grains
"Peaches, drained, he",72,0.2g,6.00 mg,0.52 g,18.43 g,14.66 g,grains
"Restaurant, onion ri",356,19g,692.00 mg,4.89 g,40.72 g,4.68 g,grains
"Moose, braised (Alas",155,4.9g,70.00 mg,24.38 g,3.43 g,0,grains
"Apples, unheated, un",48,0.3g,3.00 mg,0.28 g,12.31 g,10.10 g,grains
"Oil, sunflower, mid-",884,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Mouse nuts, seedling",104,1.1g,0,7.30 g,16.30 g,0,grains
"Chocolate, 45- 59% c",546,31g,24.00 mg,4.88 g,61.17 g,47.90 g,grains
"Beef Pot Pie, prepar",220,11g,365.00 mg,7.25 g,22.05 g,0,grains
"CRACKER BARREL, gril",203,8.5g,180.00 mg,31.52 g,0.00 g,0,grains
"Bamboo shoots, drain",19,0.4g,7.00 mg,1.72 g,3.22 g,1.89 g,grains
"MURRAY, Chocolatey C",466,16g,439.00 mg,7.10 g,73.60 g,23.20 g,grains
"Fish, eggs (Alaska N",104,2.9g,160.00 mg,14.66 g,4.89 g,0.00 g,grains
"Beverages, ready to ",0,0g,2.00 mg,0.00 g,0.00 g,0.00 g,grains
"Nuts, blanched, haze",629,61g,0.00 mg,13.70 g,17.00 g,3.49 g,grains
"Restaurant, hash bro",197,9g,468.00 mg,2.49 g,26.59 g,1.38 g,grains
New england brand sa,161,7.6g,1220.00 mg,17.27 g,4.83 g,0,grains
"Restaurant, cheese e",273,18g,528.00 mg,11.24 g,15.45 g,2.60 g,grains
"Beef, cooked, breakf",449,34g,2253.00 mg,31.30 g,1.40 g,0.00 g,grains
"Fish, meat (Alaska N",97,5.3g,0,11.70 g,0.00 g,0,grains
"McDONALD'S, Tangy Ho",167,5.8g,383.00 mg,1.32 g,28.81 g,21.88 g,grains
"Baking chocolate, li",472,48g,12.00 mg,12.10 g,36.20 g,0.00 g,grains
"Soybeans, raw, sprou",122,6.7g,14.00 mg,13.09 g,9.57 g,0,grains
"Macaroni, cooked, en",128,0.1g,6.00 mg,4.53 g,26.61 g,1.15 g,grains
"SUNSHINE, Original C",507,26g,753.00 mg,11.40 g,57.40 g,0.50 g,grains
"Custard-apple, raw, ",101,0.6g,4.00 mg,1.70 g,25.20 g,0,grains
"KASHI, Original 7-Gr",385,12g,530.00 mg,13.90 g,63.20 g,13.50 g,grains
"Snacks, NUTRI-GRAIN ",403,11g,195.00 mg,9.38 g,66.72 g,32.45 g,grains
"Bananas, or banana p",346,1.8g,3.00 mg,3.89 g,88.28 g,47.30 g,grains
"Soup, powder, dry, c",446,24g,4957.00 mg,8.00 g,52.10 g,17.51 g,grains
"Snack, hard chocolat",467,18g,494.00 mg,7.05 g,70.07 g,38.80 g,grains
"Tomato juice, with s",17,0.3g,253.00 mg,0.85 g,3.53 g,2.58 g,grains
"Tamales, masa and po",168,4.7g,298.00 mg,13.19 g,18.28 g,1.57 g,grains
"Vitasoy USA Nasoya, ",43,1.1g,79.00 mg,8.21 g,0.00 g,0,grains
"Bread, whole wheat, ",239,1g,375.00 mg,8.33 g,49.10 g,0.00 g,grains
"Water, NAYA, non-car",0,0g,0,0.00 g,0.00 g,0,grains
"Soup, restaurant-pre",46,2g,501.00 mg,3.20 g,3.80 g,0,grains
"Soup, dry, beef flav",441,18g,1727.00 mg,10.06 g,60.34 g,1.99 g,grains
"Gravy, savory beef, ",39,1.1g,587.00 mg,1.09 g,6.24 g,0.52 g,grains
"ARBY'S, classic, roa",242,10g,653.00 mg,15.17 g,22.21 g,3.84 g,grains
"McDONALD'S, Crispy, ",275,15g,607.00 mg,11.48 g,23.22 g,2.48 g,grains
"Maraschino cherries,",165,0.2g,4.00 mg,0.22 g,41.97 g,38.77 g,grains
"Pork sausage, cooked",271,22g,294.00 mg,9.41 g,8.13 g,0.00 g,grains
"Cornmeal, yellow, en",370,1.8g,7.00 mg,7.11 g,79.45 g,1.61 g,grains
"BEAR NAKED, Double C",423,17g,200.00 mg,6.60 g,66.90 g,35.20 g,grains
"Soup, with water, lo",30,0.3g,33.00 mg,0.79 g,6.57 g,3.97 g,grains
"MURRAY, Shortbread B",371,16g,518.00 mg,6.50 g,75.30 g,1.20 g,grains
"APPLEBEE'S, 9 oz hou",189,9.1g,604.00 mg,26.85 g,0.00 g,0.00 g,grains
Pork and beef sausag,396,36g,929.00 mg,13.80 g,2.70 g,0.00 g,grains
"Potatoes, solids and",44,0.1g,217.00 mg,1.20 g,9.89 g,0,grains
"Babyfood, Baby MUM M",391,0.9g,313.00 mg,12.50 g,83.21 g,12.50 g,grains
"Snacks, unsalted, re",462,29g,10.00 mg,13.80 g,44.90 g,0,grains
"KASHI, Zesty Salsa, ",381,9.3g,585.00 mg,11.00 g,71.60 g,2.90 g,grains
"Mollusks, raw, wild,",51,1.7g,85.00 mg,5.71 g,2.72 g,0.62 g,grains
"Beef, smoked, cooked",312,27g,1131.00 mg,14.11 g,2.42 g,0,grains
"Fast foods, miniatur",403,18g,554.00 mg,7.02 g,53.38 g,17.98 g,grains
"Snacks, corn, brown ",385,3.2g,167.00 mg,8.40 g,81.20 g,0,grains
"Lean Pockets, Meatba",240,7.7g,557.00 mg,10.49 g,32.28 g,8.81 g,grains
"Chili with beans, mi",100,3.7g,385.00 mg,5.85 g,10.88 g,1.84 g,grains
"Frozen novelties, or",95,0g,8.00 mg,0.50 g,23.17 g,19.99 g,grains
"Babyfood, junior, sq",24,0.2g,5.00 mg,0.81 g,5.73 g,3.24 g,grains
"Pork, raw, 96% lean ",121,4g,67.00 mg,21.10 g,0.21 g,0.00 g,grains
"KEEBLER, Dash of Sal",490,22g,432.00 mg,6.80 g,66.30 g,7.30 g,grains
"Noodles, dry, enrich",382,4.6g,72.00 mg,14.61 g,70.32 g,0,grains
"Pineapple, sweetened",86,0.1g,2.00 mg,0.40 g,22.20 g,21.10 g,grains
"Chocolate, 70-85% ca",598,43g,20.00 mg,7.79 g,45.90 g,23.99 g,grains
"Seeds, dried, safflo",517,38g,3.00 mg,16.18 g,34.29 g,0,grains
"Waffles, prepared fr",291,14g,511.00 mg,7.90 g,32.90 g,0,grains
"Ostrich, pan-broiled",175,7.1g,80.00 mg,26.15 g,0.00 g,0.00 g,grains
"Gravy, fat free, chi",25,0g,525.00 mg,1.69 g,5.08 g,0,grains
"PACE, Jalapenos Nach",13,0g,1000.00 mg,0.00 g,3.33 g,3.33 g,grains
Artificial Blueberry,407,8.7g,0,4.70 g,77.45 g,0,grains
"Cheese, with fruit, ",97,3.9g,344.00 mg,10.69 g,4.61 g,2.38 g,grains
"Formulated bar, choc",363,3.1g,308.00 mg,14.15 g,69.63 g,30.07 g,grains
"Snacks, unsalted, sw",532,32g,35.00 mg,2.94 g,56.82 g,8.82 g,grains
"Turnip greens, no sa",19,0.3g,29.00 mg,1.36 g,2.81 g,0.42 g,grains
"CAMPBELL'S, low sodi",21,0g,58.00 mg,0.82 g,4.12 g,2.88 g,grains
"Gravy, brown with on",42,1.7g,0,0.00 g,6.78 g,3.39 g,grains
"Cereals, cooked with",56,0.5g,2.00 mg,2.00 g,11.80 g,0,grains
"Chocolate, 60-69% ca",579,38g,10.00 mg,6.12 g,52.42 g,36.71 g,grains
"Brussels sprouts, un",41,0.4g,10.00 mg,3.78 g,7.86 g,0,grains
"Wheat flour, soft wh",332,2g,3.00 mg,9.61 g,74.48 g,1.02 g,grains
"Snacks, ranch-flavor",501,25g,519.00 mg,7.19 g,62.74 g,3.03 g,grains
"Desserts, dry mix, c",363,3.3g,187.00 mg,2.40 g,91.50 g,0,grains
"Cereals, dry, chocol",363,0.8g,10.00 mg,10.60 g,79.55 g,16.63 g,grains
"Fiddlehead ferns, un",34,0.4g,0.00 mg,4.31 g,5.74 g,0,grains
"Guava nectar, canned",48,0.1g,6.00 mg,0.30 g,13.30 g,10.15 g,grains
"Sauce, pepper or hot",11,0.4g,2643.00 mg,0.51 g,1.75 g,1.26 g,grains
"Soup, homemade (Alas",72,2.2g,30.00 mg,7.40 g,5.60 g,0,grains
"KASHI, Country Chedd",445,16g,724.00 mg,9.80 g,68.00 g,3.70 g,grains
"Sauce, prepared from",237,18g,1145.00 mg,12.80 g,5.46 g,0,grains
"Candies, SYMPHONY Mi",531,31g,101.00 mg,8.51 g,58.01 g,53.96 g,grains
"Cheese, pimento, pas",375,31g,915.00 mg,22.13 g,1.73 g,0.62 g,grains
"Seeds, dried, sunflo",584,51g,9.00 mg,20.78 g,20.00 g,2.62 g,grains
"Papaya, drained, hea",206,0.6g,9.00 mg,0.14 g,55.83 g,52.20 g,grains
"Snacks, lightly salt",560,35g,187.00 mg,6.72 g,53.54 g,0.34 g,grains
"French toast, ready-",213,6.1g,495.00 mg,7.40 g,32.10 g,0,grains
"Snacks, low fat, mic",424,9.5g,540.00 mg,12.60 g,72.00 g,0.92 g,grains
"Lemonade, white, fro",196,0.7g,7.00 mg,0.22 g,49.89 g,44.46 g,grains
"Snacks, salted, soy ",385,7.4g,842.00 mg,26.50 g,53.15 g,1.80 g,grains
"Swamp cabbage, raw, ",19,0.2g,113.00 mg,2.60 g,3.14 g,0,grains
"Restaurant, black be",103,2.6g,311.00 mg,5.10 g,14.79 g,0.89 g,grains
"Snacks, rye, brown r",386,3.8g,110.00 mg,8.10 g,79.90 g,0,grains
"Oil, bowhead (Alaska",900,100g,0,0.00 g,0.00 g,0,grains
"Oil, low linolenic, ",900,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Oil, high oleic, can",900,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Ham, low sodium, ext",141,2.7g,1062.00 mg,18.52 g,10.70 g,10.68 g,grains
"Babyfood, junior, me",184,15g,423.00 mg,13.40 g,1.10 g,0.80 g,grains
Pork and turkey saus,342,31g,876.00 mg,12.05 g,3.63 g,0.00 g,grains
"Turkey, deli cut, ro",112,3g,1200.00 mg,13.50 g,7.70 g,4.00 g,grains
"Candies, SPECIAL DAR",556,32g,6.00 mg,5.54 g,60.49 g,47.56 g,grains
"SUNSHINE, Asiago Cra",502,25g,763.00 mg,8.70 g,62.60 g,1.30 g,grains
"PEPPERIDGE FARM, Pum",259,3.4g,586.00 mg,0.01 g,46.90 g,3.40 g,grains
"Stew, squash (Navajo",103,4.3g,49.00 mg,8.62 g,7.27 g,0.61 g,grains
"Stew, dumpling with ",101,3.8g,46.00 mg,8.71 g,8.03 g,0.21 g,grains
"APPLEBEE'S, chicken ",297,16g,740.00 mg,19.62 g,17.98 g,0.36 g,grains
"Beverages, Cran Cher",46,0g,7.00 mg,0.19 g,12.76 g,12.20 g,grains
"Cake, dry mix, marbl",416,12g,519.00 mg,3.40 g,79.50 g,35.71 g,grains
"Cookies, regular, dr",434,15g,303.00 mg,4.00 g,76.60 g,0,grains
"Beef, jellied, lunch",111,3.3g,1322.00 mg,19.00 g,0.00 g,0,grains
"Snacks, taco-flavor,",480,24g,787.00 mg,7.90 g,63.10 g,0,grains
"Mustard spinach, raw",22,0.3g,21.00 mg,2.20 g,3.90 g,0,grains
"Crustaceans, raw, no",77,0.8g,423.00 mg,16.52 g,0.00 g,0.00 g,grains
"Sauce, original, OPE",132,1.4g,1517.00 mg,0.44 g,29.45 g,23.49 g,grains
"Cornmeal, white, enr",370,1.8g,7.00 mg,7.11 g,79.45 g,1.61 g,grains
"Dessert topping, fro",318,25g,25.00 mg,1.25 g,23.05 g,23.05 g,grains
"Milk, 3.7% milkfat, ",64,3.7g,49.00 mg,3.28 g,4.65 g,0,grains
"Tangerines, raw, (ma",53,0.3g,2.00 mg,0.81 g,13.34 g,10.58 g,grains
"Gravy, fat free, tur",33,0g,0,1.67 g,6.67 g,0,grains
"Soup, dry, any flavo",440,18g,1855.00 mg,10.17 g,60.26 g,1.98 g,grains
"Cheese, imitation, a",239,14g,1345.00 mg,16.70 g,11.60 g,7.74 g,grains
"Pickles, low sodium,",11,0.2g,18.00 mg,0.33 g,2.26 g,1.06 g,grains
"Ice cream cones, cak",417,6.9g,256.00 mg,8.10 g,79.00 g,6.00 g,grains
"Ice cream cones, rol",402,3.8g,298.00 mg,7.90 g,84.10 g,25.66 g,grains
"Pears, drained, heav",74,0.2g,5.00 mg,0.24 g,19.08 g,16.42 g,grains
"Plums, drained, heav",89,0.1g,19.00 mg,0.44 g,23.12 g,21.58 g,grains
"Cheese, 1% milkfat, ",72,1g,406.00 mg,12.39 g,2.72 g,2.72 g,grains
"Cheese, 2% milkfat, ",81,2.3g,308.00 mg,10.45 g,4.76 g,4.00 g,grains
"Babyfood, apple-swee",48,0.1g,5.00 mg,0.30 g,11.40 g,9.60 g,grains
"Tomatoes, stewed, ca",26,0.2g,221.00 mg,0.91 g,6.19 g,3.52 g,grains
"Apples, heated, unsw",47,0.3g,3.00 mg,0.29 g,12.00 g,0,grains
